mutant_hash,org.apache.commons.math3.optim.linear.SimplexTableauTest::testSerial,n_tests_killing,killed
0e0a6f341ddf5a2762e0386fdb7133715736b9637e3a262916072220fa338d41,0,0,0
0ff86ea211a22a0c03eaffd14a282e58c8a47c31a28e7347379b4e0d053cd121,0,0,0
1a4a15a6dab6aebeaccdfa6123f8b6030d77ea66a55146d526ec581e5dafc13a,0,0,0
1ae96773e02342d84c21b6be1dbae4c9e71677bab47ebf76e8cb666d43bb465c,0,0,0
1f2bba07d034f0c1ac2c9801ef74a9c174bd3fadf73b7f594f5e7a19eada027d,0,0,0
255052d971ea017e0a62897d081c50bcdeaf98ca74b2b7b384ccdd9d534ce5ef,1,1,1
275905b8db8fb6e4aac12a340e02b60e776ceb72d53d443888cbf507c745ebb3,0,0,0
288107d4cb6d8e6581fae98f2f6128022088683e5d8ecebfe76e8cdc4d06e504,0,0,0
2f0384dea6d75a3ae07e43b0f59148a9bf6bf1b5fbe6d24c363315c4e3403ded,0,0,0
3481fc441e903a3be33cccec771f4f25ddf0c49696f6206506a465216ec193e6,0,0,0
3bb45a1733559cc0123fe20fc7ac9a445f8c5b47837109cb20f7118e397497f3,0,0,0
402e736243ee2bbedc1464390cdb386555443f4ff6924b151f32d66d127df8da,0,0,0
407a988147de2145657ea86e8d29c5fd8c6e300e6d6a3c732313cd04e6797900,1,1,1
411b47af7a47eb1fd7c8bdfe7ae74be192b79f262cd0789f90572032161a5c5c,0,0,0
45ba731e0deef03ff967d2ab03c97461d554fbd8f293d435a3976cd6ac01f624,1,1,1
4973149c352ddaecbc6a135e889197001ad00104ab57dd2f26a49ecbb0ca8d92,0,0,0
49d9c257fc238c014e01529449dcab87723b9b8f575e33567563592e0c52740e,0,0,0
4e17345243bc142081b7f5b8537a8a4b346a06584de596d440868c76a9980751,0,0,0
503fc939b7bfa8aaec44b243b1947ae703a66547c5fe5fe061630abda14cd6a4,0,0,0
57f09199593c74062e4991cd7bdaf19180e7648c1dec75ae6b1e37765edd4c38,0,0,0
582582d266092389ea020741b166cf86e95278e4a06f7b60a3f7486434b98297,1,1,1
6162e24c11d9c5a8b509c5edd5eed0885ea906a741c7e60c1dc82785e521ec30,0,0,0
6235a5c39efbc17157cc96a0eb9c97371d8e483f07e552fdd44aa5b711988e8b,0,0,0
626258155383bf9aaf3e761e91ed9d7e4cc4c1242fbc26755b271c965968bae5,0,0,0
724555f877b14f6b79bf9e2c3a2295a9d15b8bc885af7aeb1637deaaf0cce7c2,1,1,1
7a0b59a4808346cbd63a9389b7aa5c2544fccf4ee5c779b13995f6ddbcd9de7a,0,0,0
7ba1b4171d1e4cf067d31dd770f081b1a60246b4b370376666b65e2179bb75c1,0,0,0
8040aea3a87f2191aa31172a54aa848a98a8c31a87be76b2676792374ab3b16b,0,0,0
80f86577f18f9cf659a22981980638e255661d5a21e6ebd2ecddd47bece0c6fe,0,0,0
8b3765f00250cc12616fa958c094399dcd4c7a6e617cb37205bba6d550f7a697,0,0,0
9253804044eecf16b4e31a9e547cb3088469294ebef716d89cf49cd9188a261e,0,0,0
93412fffde2833608c85ce362ce38b836691f0f2f4ef157610a2022eee93e57b,0,0,0
97daf4c8c7afb0580be96587c433489f35d2304f8ea72ece4598ba5b08817cef,0,0,0
97ecfeb03b4f7e29a9e50c016bdc25e019ee65cff334b45df103187c8d81ed81,0,0,0
a436301ced825584ab0bb1ecf89a14dc4bc3a21c7ffdc6ac22c52be736efaa7b,1,1,1
a453929d8dba952f907ae37470397dfe0eb7a717ea461365230f06708afbb8eb,0,0,0
b392075a90e868b3ede587d596ec1bab1594ff673a9448f0c02fc41c0fa8742f,0,0,0
b4a30b51a1beed638d03ed9f9b46c6fd6441a8072d569af504eb5e8d2932777d,0,0,0
b7effae784934b35569870b7defe6f0caea40fd494116a268cd902a37628aa83,0,0,0
bbce79524bcf2a4ea21029088505e96b13bed92cc773f5b941053575e3650154,0,0,0
c3c7e5d996ca8c03a7cb54530bfa9ab01e1a5708dd288dcb1eb7b2f2db9e568b,0,0,0
c4ee4b8311c584969e77d4fde3cf4e5bc34d2a764d708b940c176b52d45cd774,0,0,0
c700549e8bc52a0a71349f8f9165df89f3e39e91c80d40fd0fd50e73fd693891,1,1,1
cda544c0d8339f84c5970f1b5408452bb915ca7ee1e4994024d9911c10d3f734,0,0,0
d34cf175fdd693ce19360ec6d68735f5c6a9f76c7397c100012cd10893263407,0,0,0
d564257ae62a80d33965a57b2276d6a051161eb026fa4bce7aa12b86ccf6fe46,0,0,0
d7945fb6709d55442ea72b5f6b5e63f653fe32822ff5f45edb139b6e6aafcfed,0,0,0
d94cacce01a350b164b7e87013e5c8ae7412a47a3c855bafe14ef3da639e2b07,0,0,0
dd9da155051d76706145b735426a44840e8fbf21d071ea4b0ec67107bbff9874,0,0,0
de9910b871a8b9de349a751b6e52d6e927f5e77514cce3017582cde15742ef28,0,0,0
e4958876124673d51719ae81fd2859a2cd44bcf9043a5216402743fa099f97d1,0,0,0
f07f1509aa8e57b7dda1c61b638ef13e0bb21f68cae861a64b4e5122eea15cbe,0,0,0
f39a7992e87c3c458590eb4f6b72f300678572b472d2a36c6a0df086947d1d0c,0,0,0
fc352bdd021d482ab7280d5465d837001f6f759115a42d64544895d4e2e6de45,0,0,0
fecb35e8c301f065d178e520e833ae3eee73ba968092897fdb7e60fb56138955,0,0,0
