mutant_hash,org.apache.commons.math3.stat.descriptive.MultivariateSummaryStatisticsTest::testEqualsAndHashCode,org.apache.commons.math3.stat.descriptive.MultivariateSummaryStatisticsTest::testSerialization,n_tests_killing,killed
0537798b21845088e304b3d19d42ea9af002228a31e65406d54d608bccd2d252,0,0,0,0
0614314e6f565fcdd98b71417874675141329cfa2e00ae09737dacdbc1ce2f3e,1,1,2,1
0b5a8f7fb58fe05d6755bccacc1befc216d9a3529b3bf9d91b25624e6d068887,0,0,0,0
19ab046a76a9f66b5f9cf598f515050a9dba17871df8fe48da7e49c06268209b,1,1,2,1
1c6fe1a5b52dbb40db911e828cf546b95ce3b642aefd858f007adbc1c43f3564,1,1,2,1
1ff7d36b38696807810c7bf7241add8583552fe319ea4a7a0545daf84f0013a8,0,0,0,0
28ed17708e91e57bc45d464d3160b9133e11bf181cbe08dcf63005b40cd83eed,0,0,0,0
2c8ac31dabd16d586fe3a98a1cf45c331ef9da8bbb96f483dc298aa2d7bca7d5,0,0,0,0
2e60af3180a3cce3372fb8a55d16a8f544085ac35025f8d5fade72b953d40bdc,0,0,0,0
2e6bc7086caa735546164ec5ac639f11cc96d4ec1d95738b364c2537b75027ec,1,1,2,1
3142da733c986825c25ff108c2363ac9598d19dc73fe36dc494188228e6f30d2,0,0,0,0
329a77684e258d9cbb4a771d95763868b53df32853d71099cc16046db787510d,0,0,0,0
3d573521714cbd4fbd34c94bef150e6cfe15e4cc6266ad2832acf0b19a5d081b,0,0,0,0
3f805f1a14b53c3070e4fda773d97f727344f183f3a494ea3d0e54e95e8a5b1c,0,0,0,0
3fd2898a2dff9aaa920ce7468dd4dd29bbc503fd6a3f55c0ad3abb8df440bf17,0,0,0,0
4113b113c24eb178945e1573c99800170e387cdc0edd9506e4900598f509ee0d,0,0,0,0
45303f6890e3eacad792a5fe7f01914b5f95b2d33b41c4976f71c8c1923cb620,0,0,0,0
49e42c949a4abede660e6f9422894951493c28f4d6155a7cc89c7add107456de,1,1,2,1
4b32e27a771dec4ba11073a7a6619963b613e4a2bea6f17d6457eaf7b0f2a0ce,0,0,0,0
4e74ff0b5a55a1e848fff98c46b7c6556eb5c413c75b99588a99cc0a34d5cabb,0,0,0,0
523f4aeb442c5cec2fc7a8c2455de22fb28a771c884bb54961dcb9e4d7755e91,0,0,0,0
5295d69de43a1b4ab806fb409fce25aa0c5b065c790a82848b81814a5aa63dfc,0,0,0,0
5466229e7cfeefb1666718c02f32b0afe0e19bf2d90dd3d45099884505a9e905,0,0,0,0
58807a2f0d0ce2f0d2048807fcb35e316438e4ea3aed2488b365109187d18ec5,0,0,0,0
58bb1c15ce290b12ba7550858a6bf594bfb4b624dd080a313f93159e4f03883d,0,0,0,0
62bafe11340fba0afc7fb38b0a290956e18e9a7b8b8dc6b96930b99fdc04a61c,0,0,0,0
6ac6143103a744960dddb792f4479ea09ae15f8b30a75c0dbb30c91295f7f31a,0,0,0,0
6c5639f531ebb49f7810329d5707294c771084bec85b0fa17f8dc4d645c7cda9,0,0,0,0
6ced109e35cdae949e7a6f8cb8f22d2776335ebb71c2747352e25058b2b0b98c,0,0,0,0
701600a37932de290f6deccb9fd4cc63305e2739ae0ec39d52d496bb6ef4bbc9,0,0,0,0
744ca9f818936efe6d4e723df435a04516a95e66a07972e3e87c039463dec0a6,1,0,1,1
81ff6f5b1d315d8c506b2a2ceaf8e940148889e8386c68d4d346d2c55d7dfb23,0,0,0,0
877c42bcab94eaef76de5b4bff8077d6fa1f8f9aaef2c1a629aa5c6ae4400a98,1,1,2,1
881ea00fb78ef77fbf9baaa7a12e705ca46f2a08a88443207eab72ab9d2c8f4c,1,0,1,1
8a2204917d1d259bd8d141c4c262e05f8ec25e3dd878cc308d16b4e27b6704ff,0,0,0,0
8e30ef6af010eb3b8ae22c10d20921d4963c7fc9707222c56d48a53fb3e84449,1,1,2,1
8e7c5c58cf7ae50660a37dece43857dde44c5ceac5bed80de6ca1cbb7a7eabe1,0,0,0,0
8f13100719f04c3933f4659df68aad00ded4ae8502f406cb7f5ae3ab1712952c,0,0,0,0
8fd86b91d14907a6c7097879ebf03b3259962afec224cd040410e6e6eded84dc,0,0,0,0
8fe60133ea804758dc3a1da5dc2c891362b55d41c8206e426c3bf203821c4717,0,0,0,0
91570559314258866008f21b0137755a2b12bfeb37dd1d5a505787119161067e,0,0,0,0
97b6c049acad034a0b590fb68dfc4da2b59a7561f66c7bcd13aea4cb5f6b180f,0,0,0,0
988d0a56715a86d2258f20841825bbd8a120070f3f3aeec8a6ff02036d34d8f2,1,1,2,1
9db62f8132a12098c215cbf1c9a9512395def6c5c9a1a178fa1c08fc353c55b3,0,0,0,0
9f04708f04d948f2ac7e265dc021091faca41146ce5a8b9afa793497cdc85c8e,1,0,1,1
a27c1475837465b3d1b3190b14d79a5017ef5b3b5e3100f1eb1998fbf958b6a8,1,0,1,1
a9b88a6236abd2d133ef6a81f361ffb7686ffda7748934b3f0c2a9e5f0b401ee,1,0,1,1
b34374d63134fc070b23cf4f9f83656e8261f09ed5b341d1292512fa6cfce22c,0,0,0,0
bc7d3dd5f1c3a8ad1f3afd22c72d1995c57d6c3f61aa61ae2fee9c2aea3d1cb5,0,0,0,0
