mutant_hash,org.apache.commons.cli.PatternOptionBuilderTest::testSimplePattern,n_tests_killing,killed
10cf72049938690483befc460cd54e8b6ee9677133a63307fd7acad7fa291b92,1,1,1
2f30244c855ca2af4a7d1423630dc5524b154051fb8c22a053102ef35d7dce11,0,0,0
2fbf34a537c9bcebcade2158b3ee915d6155abdd4a0a1fdfe9013768415364d0,1,1,1
36ef73cd80ddf96fcef0de5c706a5e7f2477e76a6b732a50872ea20de5a17499,1,1,1
48417d096db2ffe9c6bb35f2fc7f00641afdf192b429373afcad05977f282fff,1,1,1
61adfe16c3ad4ceabc9d9dd2adca9bd45c6d120f67b2e4d441a211cb33b33639,1,1,1
6270933685ff4a4c8ac801dcda9690a1c79210fd9b245eb5991fd045358ff1db,0,0,0
66fc0ba56ca5360aec22adc58d532ca95bb25139e9f99037d4cd3cac80cfe4dc,0,0,0
860f7e0cec5f6a9c9f1129ae853ed5d6b35c64080554b04561e26f891f65c526,0,0,0
8beb47ded750c7b0fdbf42aee529408b46751781c14723f3eede813acfa6944f,0,0,0
9b0610fa43bda551d1463f06a45c7cea7ab7d45e36e1ea2580a9927b23846187,1,1,1
9b6ce0034933bf2a7d450c67af89ffe2013bbeb6253e64abe217763eff500ce1,0,0,0
9ffd00cbe3b486503d170c99e587a20a939388ba4771e449716f060ab7a7d5a0,1,1,1
a692251040987428fa71d971a9cda5a3bfcf3a707a3c9cf3112974cbb2464380,0,0,0
c455588093dc7a7d7f155ed462b6d0f61413b78c3f5101a29e96c9358f864d89,0,0,0
da24930560b6b17341c9a120c22660813d54789b590a7436ae3a5a6dcea34853,1,1,1
e28fe8c782274bd01e5623fb897afa19588a9db15489827425563833c141f187,0,0,0
e82d7a8a61acf4c43dc55f133cbdb76b74b68db7d3a75f7f15b08fb66997721c,0,0,0
