mutant_hash,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,org.apache.commons.csv.CSVPrinterTest::testRandom,n_tests_killing,killed
02af8cc8c1f4b4287e2274c0f7a2be9314a977bb5aa5455e3850f665d7c5ac31,0,0,0,0,0
038f18d4a93a8e372aa2fc6246e8f5bc2f737f8f24aed9f69a454f214f6d8e3a,1,1,1,3,1
0d94034dde2175b76d2b9dde280c721c763b2cf942f306a3d97fab58d960f8ac,1,1,1,3,1
1de4b1ab1cfbb321db42f92f7faff7b3bf998f0f245c56072740387cbc059b37,0,0,0,0,0
1fdb2985eae0b038261526a54d99f7d32db2fbd02bd948063a3e6971bf290125,0,0,0,0,0
27468eabc855124d1f91a7df3203f1f0eed51da2b903e2ee1a6d43ea1139690d,0,0,0,0,0
288ba0b2ae6ad97d2b6343422366a01bebebbc56c2b58c25f33f7eebc0fd4d51,0,0,1,1,1
2fdab3dc13a4eb30f8200995c2f4e7f1073afe9d8555a8c3b34f8cb86b4c9a17,1,1,1,3,1
36ab3a5cd321d5b1743acf5163f1e191dd3188ae664b169bd21d037f53d47e55,0,0,0,0,0
379130569bfdfdb8a8b6e63ff1e2a5b6e75a29bea95ce16467b35bf81d0da3df,0,0,0,0,0
3c3610172aec1ecb40da446ea1fabc22d79ee61c40387ac8d65e26ff2f9227c6,0,0,0,0,0
41d3517febef2069a070b70b7422a602e916eb9b4f63bd57afb24cb1fd1598f6,0,0,0,0,0
47053d38afc6039476aa0482c7694e3b969379d7320ebb67f8ad23fec4866020,0,0,0,0,0
4a8c2d3c90e7a7f89d82922c6952e70cadb88693e7f15b8ab74c46c429cd8c6a,0,0,0,0,0
4a97d7d824393ce9da07f11727dfe293c89ffdd5f9b2ccfd3ef0e8cfbf96c608,1,1,1,3,1
50bbf76b6acabebc305d01daad77ab9ef70465f2b635e1e222162e58f26e6214,0,0,0,0,0
59dc33da26dba8ddf8cd9c930e9ea8c2be708e81857fefd95671ea6aff7c4ad4,0,0,0,0,0
5a28d9978808d16bae063a610478bb1e8bf288734da950d9db7a39fa09710bc4,0,0,0,0,0
5a75991b3aa1af7fac1ea683ce7b74f6120b6d478f2c811c81daaef19b948595,0,0,0,0,0
5b59f71b6020e8bd30567860b15f040a60568606d56a2748624302b6edb2c0cc,0,0,1,1,1
5cbe04159b6dbdf475fa25eef6b9748211fcba7072690fba8adffadd60ef2c50,0,0,1,1,1
608647f9babf5b5da5ddfc878c015fd2e7f010d83221d9b896bdba37bbadc08d,0,0,0,0,0
64b1d821a35810306a706ad28e52932a0ab664185a2aaee3ed5f1d1c6517c2ea,1,1,1,3,1
66843ccc39b46010fa44b567e11209ca3cfc843105dfa4e20847fa540140aded,0,0,0,0,0
80430829e4399be156e4eaf2d3e86c6efaf56bb8c549e35a3ed1cd1dde1d82e1,0,0,1,1,1
850c58c9e49fa4e9c06208fb6ec6392daf06f761cd76208e02ec438dd06fe340,0,0,1,1,1
8519cc5129ccd3317ba10d12617981e6e5987871601095e6ade3619e4bf281e4,0,0,0,0,0
899f05669172d4b71eb0bd2ad0cbc0d896a5e3f31858567ddfcba1c7b6b3da85,1,1,1,3,1
8b63176047c609664d7fd524aa59cc3f9245a46f0e5ff1e9a4eed57a2e4f7365,0,0,1,1,1
989b31b2c4b7202c1ea2a559d17c0c160da423592c529930e659ffe277c09454,0,0,0,0,0
a153c05e53f5c999a989f4aefad009b4a2f1c86c806e10baae7c597db0ed529a,0,0,0,0,0
a202c7d026910fa9baf561633c68bc109aa86ddac82ad5be1e001725b49d8b79,0,0,0,0,0
a55e1f0f67f6cd7aa5b12ed2f72ba89329a946743f78db48cdf8dba8dc515073,0,0,0,0,0
a5e21444bd09a0ac5030c5d8f45a4e9930cff64478fb56d6aa32608f73e296e7,0,0,0,0,0
a7939795bd372ba10ffcd4fef4fa93d4d316a211daa596c6af1e58ec550b8717,0,0,0,0,0
aef368b831d43271d8971119b4ae446cd1a20aeb769519ffa71cfe422d3cf7ea,1,1,1,3,1
b5951c342d092d9496e9f01669bbd3486d6f655f6be7af609533be3553ab76de,0,0,0,0,0
bcd264efc132c5233058899af2329fe04969d35085655fd1c2c0dd5a357e2432,0,0,0,0,0
c46f68ba3f2337a8d2c2b509bc9dec1b2cb131ba894062d7879d0389088ff7ff,0,0,0,0,0
c751b34a3a32ec9d0c6d072d50c18595437f6a4c1829461f72334ff171b8e241,1,1,1,3,1
ccfd535dd820e36bfed27aa29e3798c006a685e438b539fb717d858e1f80df6b,0,0,0,0,0
db5ab0e8252304ea22c2e45b265db2735791039b70aec63fb1b871a64d32ae7b,0,0,1,1,1
db7f9a7a9a81f2fe6da0a498f00487a60a2a9e9a37b6a6eb6ae0e0c9f8658fd1,0,0,0,0,0
dc21197d92f539be1fbd3c011793c31f2200c7beb64198c1b029ed407aaba3ca,0,0,0,0,0
dea0a9991a366a227d6f183fbe0dafa841a8d2eb2786c2bc270462df58571a00,0,0,0,0,0
f1174898846e6d4ffd8f58d6b5cac72e4520ad1fd731a28770738a8f1e686990,0,0,1,1,1
fbbe28358e71968f12e70b28e0ff7e10ebc2565b657c3e3d0f73e2eb37dcbe64,0,0,0,0,0
