mutant_hash,org.apache.commons.lang3.math.NumberUtilsTest::TestLang747,org.apache.commons.lang3.math.NumberUtilsTest::testCreateBigInteger,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumberMagnitude,org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber,n_tests_killing,killed
0f46e346f1f5e9041d1f6962a37e11672a70edde2939d22fa5bdf23ee28d4732,0,0,0,0,0,0,0
1e28f5793237ef994698e89a1101899fb5ba7ed0498dc204488e2a51869b93d9,0,1,0,0,0,1,1
249946a4f8506e59ee619f87e067552d3b2797e801aa83d6b45127b22624e761,1,1,0,1,0,3,1
267c081189a511d1d3616a214a09aba7ae9f7969502f34cd5140a61479e70c2f,0,0,0,0,0,0,0
2cd46a603244ba884971425bc8499360d211a7fcae2c2a0dac3fa0106342189d,0,1,0,0,0,1,1
2f534a531ad319117f4cda1f335be99c3a85d24ca39d4506f5075301cfc9e555,1,1,1,1,0,4,1
35ff87b999727d38e63aee263a10c529cdd0fa084529adfe37090800ee78bcfc,0,1,0,1,0,2,1
3d3fc6db4784267f69e3f59c075e1ff17f5979b30fe720240e069e182e7edfa7,0,1,0,1,0,2,1
428319971a89285077b8be8fb9c110222790bbb1eb38654a9e300f425284f878,1,1,1,1,1,5,1
450d695e6009017128bae809184482fc4af8dcf9bd06cda544d854da1ce2b6dc,1,1,1,1,1,5,1
47bfa78b405dd760b4893de92bfc296483df376021165e815b49ff7479742eb9,0,0,0,0,0,0,0
5761d0aa948f8e5b546fa6bedbae005ef47fd4f98ef75ab090659cb63459019e,0,1,0,0,0,1,1
5b1b8e5000a14373efa9e3cd673769ce00e13c73b9e5e83c21c617a0503297ea,0,1,0,0,0,1,1
5fb1a38397a8f2b7225d85ff765fb768d404ba0837bd74a5a27eaa6532d7519e,0,1,0,0,0,1,1
626308c6cc8d71d2f9b49527ba9a2d5833c5927a4f0d73a243ad528c7734b07e,1,1,0,1,0,3,1
65fc55c210f03e86fc80a7ce873053ed5d74b76ddf120b387ca3623db6fd232d,1,1,1,1,0,4,1
68d574ed6628ef97f3e7605809522a8092d593da7e142f8e4fe2fe8897cbe44e,0,1,0,1,0,2,1
75554c4af204b8ce63f0dc50ec57043579161ce6736215cac7a40fe3e67ff84d,0,0,0,0,0,0,0
8310dd73dacbf383905c962fae90dc6efa3327c823698735c406d9c3739a5b4a,0,1,0,0,0,1,1
8518ee2a07909cc9ce4ee43d78d3a036e07d6a7768019eedb172bc8505f766c2,0,0,0,0,0,0,0
86f27caa41450b9bed8ff2e6069fa40eeccee72bfb326beb9097efddd8c35b28,0,1,0,0,0,1,1
8a68283ee1c35c2f0d5d684803f7cf41ad47c309bed862c9acc304296a420198,1,1,1,1,0,4,1
8d3f107e33940a3ddb6f828943900f99935bea7fb7c35cfc5544b39f7553f60d,1,1,1,1,0,4,1
8e2646f15c1c08971ff0040fa4f7ae63c0e72cfff529336f954e9a9ab67bafd2,0,1,1,0,1,3,1
9954ee06fe4ce124d262662c66aad5323cf376020259af5ad5846f004fb3da43,1,1,0,1,0,3,1
a710f7de1eac1b922df7f1e79942f88c285e071178dc544190629d524c96f3ad,0,0,0,0,0,0,0
ae03d13e5888f12c66fcbda955b4daf1cc0f373d967aa1cdbec037a1c326edce,0,0,0,0,0,0,0
c13added043e026b1a84b35a668d55ba982a67538b2407b24ea62d0b22a06869,0,1,0,0,0,1,1
c6ad41b21ddd3fb81fd080830536ec4d1d0611636caae40c39e8edfd4408145d,0,1,1,0,0,2,1
ca3d41a877832f161d3059a7a8274aa4db8bc4e83d51bd2042ed5a21c518c4aa,0,0,0,0,0,0,0
cbfc9ed1d2f809f6aec8e472655a091d61726d6fe595f50c597cb0462b7e36c1,1,1,1,1,0,4,1
d016d9780180981efdac69632c599daaa705027ad6d2b7f9ab4872840ba3965b,1,1,0,1,0,3,1
d982e0beaad9cff44f470b57b6d799e6bf925c919ff1f99cfd6f9aa91e7eebb2,1,1,1,1,0,4,1
da98c05000bfbab25449dadb8b4d3af7d606429b59cbe7a631ce559c5e638d87,0,1,0,0,0,1,1
daf9cf3468946b8e8839920c69862cf2db942be61bf606c0a3238602f0dc18aa,1,1,0,1,0,3,1
de65d68c3f28e73991b20c3d48e09c6784d0a8932b8a38727c55206fa31e8aaf,1,1,1,1,0,4,1
ec7c55f8c51a8126f08eb66a142cfdc533f3ba88ccb4543d15cb44bb93a08af5,0,1,0,0,0,1,1
f1b445c647a18f1dc8d49506fdbaa5e400d142855d10bd8fad57879e420ddfe8,0,1,0,1,0,2,1
fc19a57af83e5e0d9cc9f0ce841f7eb6d845d30a49901b5b5ac94400cdac9e81,0,0,0,0,0,0,0
