mutant_hash,org.apache.commons.lang3.math.FractionTest::testPow,n_tests_killing,killed
0726508f27868276db625f5ff7cf4893158452afe3a429cd8362da9f6d6f0ea7,0,0,0
098c7a9840544f2cc9b7cc889b783d4393fcc43fc2e918d767576cfaa3b9e722,1,1,1
0a83883c9e4350262eaf446ee60fcbe1707936f615cac2959bd3cfcb9fadcc3d,1,1,1
0b66f9c153c7537883fff7a51fd1fa08cd69521a041eeea97d31112c0fe72a99,0,0,0
11a4f252df2bedd23172f1d592fe5f4b0dc729971db5f8f544032216a048af5c,1,1,1
159e08094c36070a4da64cfa3c42a52e1d0f86704b71e8dab16651268a852063,1,1,1
18016fe23e10e89defe88e6e5043b5f7dd2f1fc03d1e67749bc308665446ad7d,1,1,1
1dc639a061dedb21f969c7af893737602d870779abc1c8841abe176d93f22442,1,1,1
2a2bf7deaa73166ba07d0e5c740d759749bcfb1e95738905e21fe765eb820f65,1,1,1
2af4dcd2cacd001bab40e2b2a2bfe36cc1f1387d16e1abac453ccaac6679cc0b,0,0,0
3db0e83204ce8f99c438c5696fb935bceadfdc4889bd620f10b7eb5e3ca6275e,1,1,1
42a22214467cb13850a67844543102526702092b0b82dde4c9d7f566dd587b05,1,1,1
490eb7a0a8ca5b1e51dffef59d95569da6e3d00f607803aad4dd70b54b94d90b,1,1,1
4aff32d896dc7e5607b3e391b5087544b1b60f6e59c1306c0b391eb965d4432e,1,1,1
616de3194ba40ddc5713d01839f98ed76833289b7dc945f272dba4ee3691f469,1,1,1
641ced3603f174c7a42e266a15427d77492703e8c178050869ff8cca3477bfc6,1,1,1
6ee16ff834d17ec69b045867786bfae77507a047cde0345153548d4547f1eafd,0,0,0
700b0741f0022ebd0433764d91e8425aa80a911e2315af712de1d997eaf6b687,1,1,1
7179014e5298894e3ad1d02255eb7a0429d7ec6df2734d67278091db9be3e95e,0,0,0
768e4caddba43355e9f934c932e6460c7819b1f6fe35ee1911de8de3b99a3dda,0,0,0
76c16a8ac25adc61df42f206637d2596ccbfe6b4ce091288808e9189c0840b4c,0,0,0
80f9ce3979c605dfadcef8ffe3351fda1c6353bf7eddfbb4889689346d42e98f,1,1,1
85eb1eb5c9d177a814adc94d11cc4c3e9781e4d66fa967226ec81a0e6e17186e,1,1,1
9de62e0909b9c28e290ca86bbbe2466d5e5c739c334bddc8503ac14235680106,1,1,1
a16c0aaa184deda7036990bf565fa782b5f2544cabdc0c1eb2d5bc583e66eeaf,1,1,1
a9c94b8c578b74f846545d38fbe0d3d9b5ba464529c9dfed38e22192a758e3f1,1,1,1
b8d9e077d989cee28d8e250afa6baacfe6f72acb0392c77201f39675d29b45c1,1,1,1
bbedefe22825ab361d41acd9b9aed8ebc3415c937e8a6ce9155d41bc0d00c8da,1,1,1
bcf17e545aeb9f6769fb1900428102fff2a7e29fe401c9fe020953b24a5ea4da,0,0,0
bcfd32c9776abda6d6a9cc05153a927632e4932ef37fc1edc481105a0465fe8a,1,1,1
bf79dfee765c300cbbdbc4e00d23121b90b7823204aad7f42ef6dbfc0df4a166,1,1,1
c0e59037e4e75703f9c08c59f3f878a4c3dc3d32b9d285dd5498f4dceec5e0f5,0,0,0
c2701552b479107e44bb0f1c010540534763ef60c3c4abb5ee044c6943142603,1,1,1
c526008c7a21aec56881e8d56aa3c64e7273c5d7360994fd56be4cfce98d6996,1,1,1
c97de1195a53a4b52cdd254c31c1635e512ee1620e1bf78ec6f5f5b225672624,1,1,1
cf9cb0efabd3a03dbc89aa39c3046ea25311d775d2f08df20bc7eb6827fe2891,1,1,1
d233e29b8aa0fa3bb9bc86394cf042eb7e1dfa1a97a99a9294f89dd8adcea04a,1,1,1
d3be7375a79301444595e181c4ddc46579eead5666d42bfeb275d14b9500d9a0,1,1,1
d518274138fbbceb2fe229c6bebce0003026e6af295768de88fc9ac71ca78a7e,0,0,0
e49d9587a0ce342eaaf6a74ff821380eb6cc5d18ae5506daa050568d6f5606d3,1,1,1
e9a97bf66ea96c0487d8fcb8f7d014ecd0d1afff96211d2b6296ad429a3d8e31,0,0,0
ec3716c907c980b05035b38d328379118357f6bda6bc2317e397081450ebe090,0,0,0
edc94f8b8f5cc06df6ebf50de164801ea51630848e9968c6d1a9d1ce747338b6,1,1,1
f059db99ec4058529b27338658f145f106dc56bfcb48dd8431e489ab74a740ca,1,1,1
f354f72ea4db6c19bb6930ea7cdcc48831eabfdd5dafaf1d44636fdbd9538fef,1,1,1
f4e445fd671c2bdd7609e52bbf06d4c37e1ad0bfa16c47707a2a3d476f49d4ab,1,1,1
fd0aaa356cc61bd70359a401de9a240da2870af4f2b6e7d640a737dd2be748b8,1,1,1
