mutant_hash,org.apache.commons.csv.CSVPrinterTest::testDisabledComment,org.apache.commons.csv.CSVPrinterTest::testMultiLineComment,org.apache.commons.csv.CSVPrinterTest::testSingleLineComment,n_tests_killing,killed
0074f7097baef06db41690ddf39ba44e123ffefc8b37e7886e2315af64ba28fb,0,1,0,1,1
024225a2e28cc4c741f3bd944312e49d1c3d88d99d594aa8a4bb7622f31e0948,0,1,1,2,1
0873e9d21a29c8191b1fd3d250ba3fa6c6bdbb491dd22f113f5de0b35eb93b78,0,0,0,0,0
0d1612a1c0595ffa7e9c5cab1e4538fff52875082b002f869c0b88f5e796fa00,0,0,0,0,0
10a2cfa51abfa1ea81d41a3d88e23f910cb367c19f189efd18196f6223168c12,0,0,0,0,0
12a163ea4752a2ae3e95caab0563c20af06398a932529bad1b20c43c53ca0e2c,0,1,1,2,1
23d22f43f3363facd3437254fb98aba757ce8e535d8ec9010402d8bac8dd3ea7,0,1,1,2,1
2549da2e48e4f6ab8690bf20965ee878668f73ed9379aec1f2223ee5a86d7cbd,0,0,0,0,0
29095c0ce9c830d15b8e8cea4aaf3d2e9ec0064c19c183b620608c24f725df0d,0,0,0,0,0
33b7e9b4aeba7334f8a61381e7b6dcf19a05f359e73923ba0803fb76dc4371e0,0,0,0,0,0
383691f4ecd70c3f1e07ff7f92c1b8b943216fb06902b8516de2d806caf907fb,0,1,0,1,1
3e17a710ae869591366274f9c23cab1b919b1bd387f699896fdf6562cf8ad48e,0,1,1,2,1
45dc5e255466bdce7aa9155e71846cd611c2e560ba128cdfd8a3cdab41bebe3d,0,0,0,0,0
45f704f2fef51d80133098541848d8e768e7b0ca9c502fe680b2f34fd29c53ee,0,0,0,0,0
4956736fc2483530df5f5ef6392b8f40be6309a5eea463af04450fe0e62b2507,0,1,1,2,1
4ca05b744d5b7f5e2cb7edcc76079f08e20a715944cd165aae08b4a4918efd8a,0,0,0,0,0
5b1fdd8f39ad08c2a856a182a1661566fe221fad30ad9ce56e8a929b4c5ff480,0,1,1,2,1
5d9a86b030f0f84f9cf6315b26ed575663810f1ca8144778fce09bbd9ee08360,0,1,1,2,1
5e49edef97a2b1efe9d8f6b64b4acf9b5f014ef8d8850f1193c2c324f7ec98c1,0,0,0,0,0
62d6bf0a4589b36dec93fdb8113e4f23652e4d55243b05f23b6f04df461f9699,0,0,0,0,0
6dff7485a9469e89dc59230d78d9338dae43457d7af3bafe505adebdd84245a8,0,1,1,2,1
6e8c2a9319257d1c1c89259d4a4bca5e1780764ea521fcde5c25ce9cef6892d1,0,1,1,2,1
6f56b15f8c58ea56ac0c043996a864baf858549478b153fa817fc85d90c2619a,0,1,1,2,1
7037315ca5d8d9f41be85cd8335968005aa7f82f6b1a6fa4174a4dfcb6012832,0,1,1,2,1
73674e37ba23dc509334f255fc9c75a9a917d550a0eca0aecfaf68020f772fc0,0,0,0,0,0
74bc69bfe2341fb10f1ffc48a999dd3ffd117b24eefe53307895f879d9efcbe5,0,1,1,2,1
7b38afd37e945144dbb6ff8fa920ed5542be572293899f4ffc02392ec4e123a1,0,0,0,0,0
7dd5c25cf936fe031f61ae237926016e291670a8d281a807a1a24fc8bde89638,0,0,0,0,0
8b8ae3251bfd5e20661eb1260937601c00a6b45744b7c6c4670231c9ff5103b4,0,1,0,1,1
9aeaf2a5a8a16ed51d0e6bb9c1e80a8118891eabbf7a80a3ac954c4659c1f183,0,1,1,2,1
9c0e5cc1ece208ad54ef5dd67f9cf36d3698055787f2b1437c5022ea009bc7a2,0,1,1,2,1
a43fe4cf63084daa663d6408e60f4b2e1065c491ac2d42487fb3095bf78704d5,0,0,0,0,0
a720e8fea8d7c004245dc4ca047e4cfdff383a0c5ac51681b0de97621c9867b5,0,1,0,1,1
ac9b6038b9a84d0857a52fc9486d713a74425e935f574c8353badd1c9d96e128,0,1,1,2,1
b121945117328f07e32599937c7e9ed82db0e412e05b9db5ef73d15f8e69c004,0,1,1,2,1
c2afdf7d5ce86b2a62f31c3de66073fa8af387246a7eeaeccec91d75ad0f9538,0,0,0,0,0
c2e3b67cc3bf4da6d00a02e25cf7de9036b5eb21a4d88a5167058faf4eb77576,0,0,0,0,0
c405a8a8de6b76ed9eaa860a5142961cf2128351a74205952b4af541187eb721,0,0,0,0,0
c6ce722930a2da135429c9b6c4bb4a4659de6a3e6fcda09ad50906d388dccb3f,0,1,1,2,1
c79a680ab521144a01448fcf0e210ae3b3f6323ec92aaab487f6eb9de380bb8d,1,1,1,3,1
c87a5e53313cd58ba38a1832cca714a7603581442b939aaf0c0c71de2db8262b,0,0,0,0,0
d0017250ff0857d16f3ea7c9ad35acc1eaa0d3db7c18d010a5f93eb491975b5f,0,1,1,2,1
d1115375f06093983c8b32ee60edfa78582548bead0206fa4f04cfa14b0ae471,0,1,1,2,1
d90f9ab591ee610178df3a05e56254e30b2ae772c4e523d93024da3a70922f2d,0,0,0,0,0
e152122d892f7c29d3a7536424f8eb2fa8c174185ca6a6aba14e39e8e2d5c6d5,0,1,0,1,1
e24cebde255c7c938a69949c13cc94ebbf5a0705832642ac4110c7b7d529a614,0,1,1,2,1
ef625e3c71aef9a6f25532e2956aac5b3f2c851438957965498a73b97906f01e,0,0,0,0,0
