mutant_hash,org.apache.commons.lang3.AnnotationUtilsTest::testEquivalence,org.apache.commons.lang3.AnnotationUtilsTest::testNonEquivalentAnnotationsOfSameType,n_tests_killing,killed
0239ef2ec80af23d63353f344309e9cf63a0b827991610809bf3b8e1984ead31,1,0,1,1
04dad4428b13dea08563a3da7e972ece329368471293cea0985dfc0f79588f1f,0,0,0,0
0b33a55f4d25646194ee386d6b26f1b4cf0b3741340de23a54f5015fb72623e4,1,1,2,1
174ba40e69c8d8c74181a69c0f7cdb0343da8837512f82a46af44f589799b24d,1,1,2,1
1866f5bcf7b55828224b042e315f43168e71f76586602b6570c314043ff34441,0,0,0,0
1ab1b07322bede1c5d9b4860070ce96c12e0217c8d9c9b0c74b4bbfc1996ad56,1,0,1,1
1eb4df4a721bcf0789131c12ee3d370ab80be2bee7caeb1545738f5131b68a45,1,0,1,1
298e68db17529b5058d884d4b6407b90f4a9997cf37e4694e4e1f8952d4df516,1,0,1,1
2b0d8b6126a494071f8c05aef077d8342243399a87755ff83605b7eb6c0e5c02,1,0,1,1
2fb6248e1fc9c7f339f19e5270ce38c982eae3a0cdeea0d32a7e7cc4297d95a2,1,0,1,1
325cacba02755d34732b638682d3d1b271f87bc421e51dcc0764b6420d6002a2,0,0,0,0
38cf958b9d604a31220c51c02020d9a787e0db3121f9adc5fa79041370cf56a8,1,0,1,1
4b321399d2823564f34524a5f6e17d477b6da9a9e749146ea9a7a69ef7e64986,0,0,0,0
4ba6bc4d4f9d0e9f00feb732ab0f914db32c48c059bb97c6203314e8ddb4de65,0,0,0,0
5187697e4396c2f532841e3af018267e0b7a2449bc30a0d3c975c09c7228f4ab,1,1,2,1
545db265aa7b2cb9339f7e4da46a9ac9459c9f4f3ff621682a51175c36bd584e,0,0,0,0
56a180d3b5e385150294b6bf7bd31a0e643b3dc1a7d95db2b3ed7aab829c91e3,1,0,1,1
581dbf8ae77112d66c148ad344abf0dff8985de35cbdc052a4905c0fd0030b54,1,0,1,1
585c56f36136f04ec696541e03c9258a4bb22afc5677993932cb02b03a382852,1,1,2,1
5e45643d3ba21e1da7587de1d483b76dac158d633a0c4c145cb3726096aab17b,1,0,1,1
70eacaa800b6b0a725d81cd9cb1884ea71a57e2afa436fc2b6e1ff80dc43d3e4,0,0,0,0
71ccaf192ebaabf280892333e140257392b4f584c5adf7748f007e5113ace756,0,0,0,0
7620947f382f3111e82992e9f35082e8f963304191af21b9513bf8aeacacf1dd,1,0,1,1
792b33c525f844de561e25a07f4ea0dbca0683d7708bb7b8150c9300dd26c4dc,0,0,0,0
7fd1c1a2ea2e7e645381c9f584ca16b83d10e33e43fa784f2278365641dc57d7,1,1,2,1
843c5487a57e7b524ce2568f7ecb00bb25738a90a4bf4e9fae57fdb63bac3238,1,0,1,1
85c0a784ac4f06fab7beba3d900fadefe0f57e972d29c324f086a88c0d3f2e38,0,0,0,0
866d10603b03e5c3595e04baf2f9b1dd49b59fc115ec73e5851dea0695111846,0,0,0,0
8fd7857aac049fbf79b423875885b95dc33689566de48ffd0e10146f01862717,1,1,2,1
912fc0eaf3209e9e0902b8ce5ea9bfb07090683ff2340aca1ea3ee326a70d32a,1,0,1,1
9b440cbffa18954384cdf79c3df39470714e2de8d21158ab3134d86a790bf982,0,0,0,0
9e0d5d00ad9e488d096c1f931bfa3e77206f9b8320b09a8ee92fdb689fb13c99,1,1,2,1
ab959f4f6e9b9912588dc15926535c82f96a9d61d508101f8a66ba110823c8aa,0,0,0,0
b28783cc1bc9a9c43300f74ee610d9db6cac3fad1aa0c2b6ae374f51dfe6e3d3,1,1,2,1
b4533541a378363aa090031a03c9cada533a84dfb20132b553ac534099960b91,1,0,1,1
b6fcb32d9d34d4ae609181a9e1d4812cdb2cc3293189fbcf9bffa308aecaba33,1,0,1,1
b850bec0836ed06315d187f3af601b19959a47a63467fd30acdc6c6e02064461,1,1,2,1
bc55c03f2a045bf840f62022d351661f8ae34c765e199675ac9b5808c6cc9177,0,0,0,0
bcdddaa3a6cb8b17a530aade49ea9258926296feb7c172d4216104555c2e0c00,1,1,2,1
c11fdec0210209435f720af0a45e704b939a01c57b0975509e3b11f470c663b2,1,0,1,1
c8bc731e74d009ea0832422b059468166844a04cf740abe8498a0a2fd1fce605,1,1,2,1
ce15fdc6d4cc2e69b8354cacd22f4e18bb27d06132e879f641e33199e6bd21ca,1,0,1,1
cf9d5706b6815de614e9ffd097ba10d5a39891bb68aa1be93f5f6d026686ba8c,1,1,2,1
d7f2f292a772fbbb95be12ce28864b1ccc5e5e23390eda211e19f989db0c5734,1,1,2,1
d9bae18943696be796628910ea2e7a0063dc55c2d8521db6836141e090179d99,1,0,1,1
e690d7e3b6c2aa6040973de9c080fbcdcbcb3a70793c8ff54dc5b13b51853065,0,0,0,0
ef72110d4bf43f5331b70703af41a741f2abaea196fdc31191a251e97d7a6c40,1,0,1,1
f54d3644c0f54edce957ccbf7f364187188b38848457193c6cdd7a10cf2462f5,1,0,1,1
fd59fc3caecd0d8c8e32a0ac18b9781f79df60cb5984a558dbd502b89f96da7f,0,0,0,0
ff32c25a7afe40d9a5f9252500d67d7bdda18cf66a6251a3d6c96ebd4362c88e,1,0,1,1
