dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_1,a56d3b8d9bfd33e4b999ea9fa3b7a8ed1bb48a6a5d61dbc366017988cc190472,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,<METHOD_INVOCATION(org.apache.commons.codec.language.bm.Languages.LanguageSet)>:<DEFAULT>,org.apache.commons.codec.language.bm.PhoneticEngine,encode(java.lang.String),372,14348,this.lang.guessLanguages(input),null,1:EVR:<METHOD_INVOCATION(org.apache.commons.codec.language.bm.Languages.LanguageSet)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String):372:14348:this.lang.guessLanguages(input) |==> null
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_2,d35daa684e287c2838872ea81a61ccac4546086c086c7a599a7d6b4ae12f24f6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.codec.language.bm.PhoneticEngine,encode(java.lang.String),373,14378,"encode(input, languageSet)",null,"2:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String):373:14378:encode(input, languageSet) |==> null"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_3,e3d20228c21dca7c5a602e18940be4e715dcf005475a3f0ebaef521c3128ed93,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,"<METHOD_INVOCATION(java.util.Map<java.lang.String,java.util.List<org.apache.commons.codec.language.bm.Rule>>)>:<DEFAULT>",org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",386,14965,"Rule.getInstanceMap(this.nameType, RuleType.RULES, languageSet)",null,"3:EVR:<METHOD_INVOCATION(java.util.Map<java.lang.String,java.util.List<org.apache.commons.codec.language.bm.Rule>>)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):386:14965:Rule.getInstanceMap(this.nameType, RuleType.RULES, languageSet) |==> null"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_4,0fc71390e940782bd170a050dd5967d349d34c786818d786b1a027645aafe8ae,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",388,15165,"""common""","""""","4:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):388:15165:""common"" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_5,9cb7c33737d1d99bb03b9dd087440977fdb1980a2c8c4b083a69f8075af507ae,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,"<METHOD_INVOCATION(java.util.Map<java.lang.String,java.util.List<org.apache.commons.codec.language.bm.Rule>>)>:<DEFAULT>",org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",390,15359,"Rule.getInstanceMap(this.nameType, this.ruleType, languageSet)",null,"5:EVR:<METHOD_INVOCATION(java.util.Map<java.lang.String,java.util.List<org.apache.commons.codec.language.bm.Rule>>)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):390:15359:Rule.getInstanceMap(this.nameType, this.ruleType, languageSet) |==> null"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_6,635211897193d4a8d90f446e31a1328efd4d78a03681987ddd0f9e4351e6338f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",394,15557,"input.toLowerCase(Locale.ENGLISH).replace('-', ' ').trim()",null,"6:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):394:15557:input.toLowerCase(Locale.ENGLISH).replace('-', ' ').trim() |==> null"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_7,56c4ab8c6b5b599d8af2b0df07460aa64d3c3c8673431e0c02c68f93f293e011,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:0,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",397,15645,2,0,"7:LVR:POS:0:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):397:15645:2 |==> 0"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_8,e538e4d9eb670171cbd1dd845dfb1e4161ad218052fe678d829d1871b5fcc55b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:NEG,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",397,15645,2,-2,"8:LVR:POS:NEG:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):397:15645:2 |==> -2"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_9,d1412a0bec92935b5e0dcdf43b2837a0f599812544a82d48f66cd7743c3f6b33,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,0:POS,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",397,15666,0,1,"9:LVR:0:POS:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):397:15666:0 |==> 1"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_10,9c06594ea02b36fb7b4dc29fc86147f7c8cd812dcd18eebaf5768cfa7d65e02c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,0:NEG,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",397,15666,0,-1,"10:LVR:0:NEG:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):397:15666:0 |==> -1"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_11,b69b84ffbc726dedc661f143d397fc0e2f61c2168083a0e4c54ff81efebb726d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:0,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",397,15669,2,0,"11:LVR:POS:0:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):397:15669:2 |==> 0"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_12,ecdbad9ad2c1d8a434ddb05e2fb1ff7452136d330bd5cc8c3ab7dfbf841525fb,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:NEG,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",397,15669,2,-2,"12:LVR:POS:NEG:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):397:15669:2 |==> -2"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_13,ec29e842216d57cd605672509e5cf4fa0d0839375feb1e47ad51e881c4caca26,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",397,15679,"""d\'""","""""","13:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):397:15679:""d\'"" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_14,65a4b3e1f704feb97ab928641ab70e30cb5ce58a7084e2b6bea81bc8d3d35a5d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:0,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",398,15761,2,0,"14:LVR:POS:0:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):398:15761:2 |==> 0"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_15,4d76b47fdf3a7c215077efb0bd7d932c3bf9945c3920ce9dc597b8bbad60e62a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:NEG,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",398,15761,2,-2,"15:LVR:POS:NEG:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):398:15761:2 |==> -2"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_16,b199fe762a456685721d7654a6760e434bb72bfd26364c87c049a4a147d6f393,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",399,15805,"""d""","""""","16:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):399:15805:""d"" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_17,a516b2285d3c0ebdb587d964b0c4e517dfe867f13cda621b8ed6b39dfcf349c5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",400,15845,"""(""","""""","17:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):400:15845:""("" |==> """""
