dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_1,ff855e6e8a958541055142a50b4c4dd53823e1d733edd3198465da740a8645be,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,0:POS,org.apache.commons.lang3.Conversion,binaryToHexDigit(boolean[]),282,9738,0,1,1:LVR:0:POS:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[]):282:9738:0 |==> 1
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_2,6045ef36d30c3826189f14c24aa8a6e6f711a8405d3675bcbf16117747e0c176,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,0:NEG,org.apache.commons.lang3.Conversion,binaryToHexDigit(boolean[]),282,9738,0,-1,2:LVR:0:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[]):282:9738:0 |==> -1
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_3,d002ebd07533f3fe033f116df1ca1866e379746ce9a4a82a3333ff51045518d8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,0:POS,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",301,10403,0,1,"3:LVR:0:POS:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):301:10403:0 |==> 1"
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_4,ff1034784781cdbb10624c25844b808f0acec33a524e8067092e03035c8e8481,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,0:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",301,10403,0,-1,"4:LVR:0:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):301:10403:0 |==> -1"
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_5,ab2a687581f1976a2e62fc776439c4993734de0ad720fab22a3dccda3e5d1cb1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",302,10455,"""Cannot convert an empty array.""","""""","5:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):302:10455:""Cannot convert an empty array."" |==> """""
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_6,c61244b669d9b9ea2434da20c0968993b593ca2bbae38cb755969a43000fc0e2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",304,10534,3,0,"6:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):304:10534:3 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_7,94b94d288abbb663a35fe1fd00ab45ad6d772ffafde31555bdaa29652b425b5f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",304,10534,3,-3,"7:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):304:10534:3 |==> -3"
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_8,2d096094bcf0f9a97334cb27a975a9c53d444f3d9b51e86152c99313b147ae84,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",304,10552,3,0,"8:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):304:10552:3 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_9,c50af7ae4f622f90a97f1e1cf6adf539733cccc7fdc51c3467f0a94998b5b3dc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",304,10552,3,-3,"9:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):304:10552:3 |==> -3"
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_10,90b2f13ed8f690bc443bc1f9742ce2d72c935a4e47fe002caf0ba984249cc86f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",305,10596,2,0,"10:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):305:10596:2 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigit__line300_365,major_full_catalog_try2,binaryToHexDigit,major_11,08126c247a1266ca5f40512443f5c39f5a4c9927175d3d33fa41b66715a3f390,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigit__line300_365/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigit(boolean[],int)",305,10596,2,-2,"11:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigit(boolean[],int):305:10596:2 |==> -2"
