target_id,run_name,mutant_id,mutant_hash,n_killing_tests,eligible_test_count,trivial
chart_1f_clipLine__line62_141,major_exec__major_full_catalog_try2_exec__chart_1f_clipLine__line62_141,major_1,5d6edc8abfda416edffca60bc96d9507aa4d593e42c247a54cbd06c0a873c284,1,3,False
chart_1f_clipLine__line62_141,major_exec__major_full_catalog_try2_exec__chart_1f_clipLine__line62_141,major_13,31c33914b5b7d13ab0b5e747a67d358a2d93d2d48825b88facf8e2a1f0bb8033,1,3,False
chart_1f_clipLine__line62_141,major_exec__major_full_catalog_try2_exec__chart_1f_clipLine__line62_141,major_14,777d6b0ef74c3b2ca9f3662c8ef0101fa74c4ad5d66a93960866ac850eece4bc,1,3,False
chart_1f_clipLine__line62_141,major_exec__major_full_catalog_try2_exec__chart_1f_clipLine__line62_141,major_15,4d5c0d418662208979e80291ae23c1544922d7c3721c19ec17d02eb4d3e77547,1,3,False
chart_1f_readResolve__line213_291,major_exec__major_full_catalog_try2_exec__chart_1f_readResolve__line213_291,major_1,09248c3e29d0f198d52a981cb65818129bdf7907ce3435714bd85b47558922b2,3,69,False
chart_1f_readResolve__line213_291,major_exec__major_full_catalog_try2_exec__chart_1f_readResolve__line213_291,major_11,4294eb9f31a6363abe32a50fd7856eeea06b3a30ec6ccd8e2b997c22aee40670,62,69,False
chart_1f_readResolve__line213_291,major_exec__major_full_catalog_try2_exec__chart_1f_readResolve__line213_291,major_14,3c7a9823af32dded62f03b24017d55feb5b266678429162b88820f0b0e9664c8,62,69,False
chart_26f_drawAxisLine__line517_606,major_exec__major_full_catalog_try2_exec__chart_26f_drawAxisLine__line517_606,major_1,90296b215a041e0d57c153afc4759499096a439888df4bad294a9f3e0924a617,9,42,False
chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec__chart_4f_deriveRotationAnchorOffsets__line686_768,major_1,8dd4d3e3813164eab816cfdbc192bb619ca0dbe440e731038d29c23a6e77915c,65,65,False
chart_6f_equals__line1488_1582,major_exec__major_full_catalog_try2_exec__chart_6f_equals__line1488_1582,major_10,09cdaca4992c9ba9f2085f35487f8f4ddf9656060f68aaf21ddfc3e2da195f00,1,3,False
chart_6f_equals__line1488_1582,major_exec__major_full_catalog_try2_exec__chart_6f_equals__line1488_1582,major_11,dfe4ce9d16e146817b4a40cd350060272ab486e13084871158ed9ab3777c3bc8,1,3,False
chart_6f_equals__line1488_1582,major_exec__major_full_catalog_try2_exec__chart_6f_equals__line1488_1582,major_12,0bb71dede0c2fb4744454d9b3c201c6da0f910240ba9da79b733e6f67a27391e,1,3,False
chart_6f_equals__line1488_1582,major_exec__major_full_catalog_try2_exec__chart_6f_equals__line1488_1582,major_13,bc53fb9c79ea215e38520afbbe1bd9531c5dfff3297dd512b5d192bcb3453d28,3,3,False
chart_6f_equals__line1488_1582,major_exec__major_full_catalog_try2_exec__chart_6f_equals__line1488_1582,major_14,27a4b0b80416523a7dd18ca0322018cfd1c15ac6268a2fb1c8c18d317371f020,1,3,False
chart_6f_equals__line1488_1582,major_exec__major_full_catalog_try2_exec__chart_6f_equals__line1488_1582,major_15,60585e824be7678bb64db11ba4317754b6e627ba91b03fabfa4adda51431a6b6,1,3,False
chart_6f_equals__line1488_1582,major_exec__major_full_catalog_try2_exec__chart_6f_equals__line1488_1582,major_16,c81265d238e0d7fa99c9cf714baec06734c7cbf6b52e9cecb5e430ab192b01a2,1,3,False
cli_14f_appendUsage__line298_390,major_exec__major_full_catalog_try2_exec__cli_14f_appendUsage__line298_390,major_10,fecfaf42c4ebde46a715abda2ad5231eed94b6f585839646938a1e57da51c226,12,31,False
cli_14f_appendUsage__line298_390,major_exec__major_full_catalog_try2_exec__cli_14f_appendUsage__line298_390,major_11,f55de446718a58b227b4cd92cb93b777c0e85722a5419aaf22c286965baef12b,21,31,False
cli_14f_appendUsage__line298_390,major_exec__major_full_catalog_try2_exec__cli_14f_appendUsage__line298_390,major_12,9ddc8af3ec3d166cc38e0c48a384fdac63e799394c7fc2cfd3f2ac125e88c978,17,31,False
cli_14f_appendUsage__line298_390,major_exec__major_full_catalog_try2_exec__cli_14f_appendUsage__line298_390,major_13,0c440fa9d51f1a3fe4696c99964abcd856b711ba6409279c31faea58a676fdfb,13,31,False
cli_14f_appendUsage__line298_390,major_exec__major_full_catalog_try2_exec__cli_14f_appendUsage__line298_390,major_14,198e9ba9cf7d9dc0660216c48950965875e51d139997600322957199668afba6,5,31,False
cli_14f_appendUsage__line298_390,major_exec__major_full_catalog_try2_exec__cli_14f_appendUsage__line298_390,major_15,e7417c4b5a33b0b8caec9512f5a0051175f4fef987f244f42650914bcae4f90e,20,31,False
cli_14f_appendUsage__line298_390,major_exec__major_full_catalog_try2_exec__cli_14f_appendUsage__line298_390,major_16,abeaf969f06e2e337718a4a6bf0ad7d0f636ed332004eaf866831a3ccdee176e,5,31,False
cli_1f_parse__line129_220,major_exec__major_full_catalog_try2_exec__cli_1f_parse__line129_220,major_10,63e6a38347690265d24fdd7174b7c6bbb29784185de0b00dc0a3149054430d0f,72,74,False
cli_1f_parse__line129_220,major_exec__major_full_catalog_try2_exec__cli_1f_parse__line129_220,major_11,2fb08c5026c4bdd7135a844ef790bcd1b4a6413f46afa6bc7548a7092c2ffe9f,72,74,False
cli_1f_parse__line129_220,major_exec__major_full_catalog_try2_exec__cli_1f_parse__line129_220,major_12,9d41efd38895a8b82321bbb805a3647360c1ddd4f9215892b8d026adc7bd071d,71,74,False
cli_1f_parse__line129_220,major_exec__major_full_catalog_try2_exec__cli_1f_parse__line129_220,major_13,66f33b136f1f695c0282c0626e2e9375c1f5329cde51c98a9872dd9894df2baa,5,74,False
cli_1f_parse__line129_220,major_exec__major_full_catalog_try2_exec__cli_1f_parse__line129_220,major_14,f5aaf9fad225585266676af6f24241b49ee9cde38f2274677f5d4fc23d3c39c5,5,74,False
cli_1f_parse__line129_220,major_exec__major_full_catalog_try2_exec__cli_1f_parse__line129_220,major_15,0995544bffbff81497e7747f09719af66b0ca1e4823235a89b33459396d6b85e,67,74,False
cli_1f_parse__line129_220,major_exec__major_full_catalog_try2_exec__cli_1f_parse__line129_220,major_16,3dd41c8dab48955c1553815c1553a0252e28ba2395b9c84ca1fa5e19a606efe4,2,74,False
cli_30f_createValue__line60_102,major_exec__major_full_catalog_try2_exec__cli_30f_createValue__line60_102,major_10,2adfa200c09e2d2acd11e2f486572f58f3aca6c0e40dce94c509d4045bb60456,2,6,False
