target_id,model_name,mutant_id,mutant_hash,n_tests_killed,is_dominator,is_indistinguishable
chart_1f_clipLine__line62_141,Major,major_1,5d6edc8abfda416edffca60bc96d9507aa4d593e42c247a54cbd06c0a873c284,1,True,True
chart_1f_clipLine__line62_141,Major,major_10,9ac6466ad55d84593c492d201fe11929712abf818d1d9ef447f473cfdd487b74,0,False,True
chart_1f_clipLine__line62_141,Major,major_11,10dd30af1da80c4a0f9754db0da0a1e6ea18929be3e9686b3ea826529fa43b19,0,False,True
chart_1f_clipLine__line62_141,Major,major_12,4aaa100abeb71f4389e9f60fef791c4695da2e1434cdf5b0d5c93a5e5dd6ede9,0,False,True
chart_1f_clipLine__line62_141,Major,major_13,31c33914b5b7d13ab0b5e747a67d358a2d93d2d48825b88facf8e2a1f0bb8033,1,True,True
chart_1f_clipLine__line62_141,Major,major_14,777d6b0ef74c3b2ca9f3662c8ef0101fa74c4ad5d66a93960866ac850eece4bc,1,True,True
chart_1f_clipLine__line62_141,Major,major_15,4d5c0d418662208979e80291ae23c1544922d7c3721c19ec17d02eb4d3e77547,1,True,True
chart_1f_clipLine__line62_141,Major,major_16,9bd38712db0ab0784d3d3d62033f1413185b011d65f3037d088ad80dcf32f655,0,False,True
chart_1f_readResolve__line213_291,Major,major_1,09248c3e29d0f198d52a981cb65818129bdf7907ce3435714bd85b47558922b2,3,True,False
chart_1f_readResolve__line213_291,Major,major_10,25b0a6e0d4970282a6fdd7ff6f65b99cffe617e391e2b6392620571d8ea49599,0,False,True
chart_1f_readResolve__line213_291,Major,major_11,4294eb9f31a6363abe32a50fd7856eeea06b3a30ec6ccd8e2b997c22aee40670,62,True,True
chart_1f_readResolve__line213_291,Major,major_12,173232fa6c0bb75ff6adee6d36ec6930438a6268ee3b67135614f851baad6e08,0,False,True
chart_1f_readResolve__line213_291,Major,major_13,fff3f2d32af072ef4854ffed43d4d3b25381491fdd3983f268996862b07198ee,0,False,True
chart_1f_readResolve__line213_291,Major,major_14,3c7a9823af32dded62f03b24017d55feb5b266678429162b88820f0b0e9664c8,62,True,True
chart_1f_readResolve__line213_291,Major,major_15,89101fe4748d6f9903401e07383c3284ddf887c1186ed100f28a06736c2a32ea,0,False,True
chart_1f_readResolve__line213_291,Major,major_16,e64c55e9e119e3a0a6e3fd0d62227d147e045e6070c44d1f81f9c0fd4093abcd,0,False,True
chart_26f_drawAxisLine__line517_606,Major,major_1,90296b215a041e0d57c153afc4759499096a439888df4bad294a9f3e0924a617,9,True,False
chart_26f_drawAxisLine__line517_606,Major,major_10,195f29892386f4cf80589c999edfe3ed97a6af6c7537ed48e5b6946b065921ba,0,False,True
chart_26f_drawAxisLine__line517_606,Major,major_11,672e723318c93cc06f9b826e65aa482d51b518f34b5634c0e720d527ce26b63a,0,False,True
chart_26f_drawAxisLine__line517_606,Major,major_12,b1909d2d703eb6e79fba791d5c6cfb3846b6cdb432ce45c46a10905987fda668,0,False,True
chart_26f_drawAxisLine__line517_606,Major,major_13,e6ebf2805dbebadc4e5de080bffc224cd273226785822f00012266c655e32114,0,False,True
chart_26f_drawAxisLine__line517_606,Major,major_14,233133005b6dc6739a6b6ddf18d0756ec12598a1c8b44b91654188abd03b8d6f,0,False,True
chart_26f_drawAxisLine__line517_606,Major,major_15,237f5c3dd7062c595dde581c99e966dd0fdbdec61fb5eb3c59548d1cf11139d7,0,False,True
chart_26f_drawAxisLine__line517_606,Major,major_16,cfe7188eb4fdf8f821c03e2433e62862737791edfe6ffc3509e9af3eb633eb62,0,False,True
