target_id,model_name,mutant_id,test_name
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.junit.JFreeChartTests::testSerialization3
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.junit.JFreeChartTests::testSerialization4
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.labels.junit.ItemLabelPositionTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization2
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization5
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.XYPlotTests::testSerialization1
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.XYPlotTests::testSerialization2
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.XYPlotTests::testSerialization3
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.XYPlotTests::testSerialization4
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.plot.junit.XYPlotTests::testSerialization5
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.AreaRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.BarRenderer3DTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.BarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.DefaultCategoryItemRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.GanttRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.LevelRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.LineRenderer3DTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.ScatterRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.StackedAreaRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.category.junit.WaterfallBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.junit.AbstractRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.junit.DefaultPolarItemRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.DeviationRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.HighLowRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.VectorRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.WindItemRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYBarRendererTests::testSerialization2
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYBlockRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYBoxAndWhiskerRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYDotRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYErrorRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYErrorRendererTests::testSerialization2
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYShapeRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYSplineRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.XYStepRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_14,org.jfree.chart.renderer.xy.junit.YIntervalRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_1,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_1,org.jfree.chart.renderer.category.junit.StackedBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_1,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.junit.JFreeChartTests::testSerialization3
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.junit.JFreeChartTests::testSerialization4
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.labels.junit.ItemLabelPositionTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization2
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization5
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.XYPlotTests::testSerialization1
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.XYPlotTests::testSerialization2
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.XYPlotTests::testSerialization3
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.XYPlotTests::testSerialization4
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.plot.junit.XYPlotTests::testSerialization5
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.AreaRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.BarRenderer3DTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.BarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.DefaultCategoryItemRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.GanttRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.LevelRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.LineRenderer3DTests::testSerialization
chart_1f_readResolve__line213_291,Major,major_11,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testSerialization
