dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_1,9b8896f853c2ad1e0ccc1eb9c90b015bcbe7d9e52482917e934b6399812be528,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.databind.introspect.AnnotatedConstructor)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",366,15456,beanDesc.findDefaultConstructor(),null,"1:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.databind.introspect.AnnotatedConstructor)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):366:15456:beanDesc.findDefaultConstructor() |==> null"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_2,664588849e8c00dae9fa8bc994b69acf765b236be6c63c8c1d059cf42e2e75a4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.databind.introspect.AnnotatedParameter)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",377,15967,propDef.getConstructorParameter(),null,"2:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.databind.introspect.AnnotatedParameter)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):377:15967:propDef.getConstructorParameter() |==> null"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_3,cf90a2a502bc916f29f32b5d06e049e9e1cd2ff0ee89d5b1555106ebcc9ea6c5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.databind.introspect.AnnotatedWithParams)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",378,16029,param.getOwner(),null,"3:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.databind.introspect.AnnotatedWithParams)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):378:16029:param.getOwner() |==> null"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_4,ef73f46398be2fc898f50bb90fbd51d2a6f568090942192706109ef726a92f7e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<TYPE_CAST(com.fasterxml.jackson.databind.introspect.AnnotatedConstructor)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",381,16181,(AnnotatedConstructor)owner,null,"4:EVR:<TYPE_CAST(com.fasterxml.jackson.databind.introspect.AnnotatedConstructor)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):381:16181:(AnnotatedConstructor)owner |==> null"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_5,7908888087a4a97b91937601fc0002d2ce3e1b1ee873146a7daa79f18a1a1dc1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<NEW_ARRAY(java.lang.String[])>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",382,16251,new String[propertyCtor.getParameterCount()],null,"5:EVR:<NEW_ARRAY(java.lang.String[])>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):382:16251:new String[propertyCtor.getParameterCount()] |==> null"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_6,106fdc479a1b7a59ce340d1caf32169fa43d8b6334d6732253d241376fe9fbfd,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",384,16388,propDef.getName(),null,"6:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):384:16388:propDef.getName() |==> null"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_7,2421b13bec173b1df23946114a19edc240672e6bfe96575fa49e22c85e9beaf5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",390,16555,ctor.getParameterCount(),0,"7:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):390:16555:ctor.getParameterCount() |==> 0"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_8,d97b55e4702aa6c7965e716f47d73eaba88ba1c81cbc291b88f72aa56396477e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<CONDITIONAL_OR(boolean)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",391,16623,intr.hasCreatorAnnotation(ctor) || ctor == propertyCtor,false,"8:EVR:<CONDITIONAL_OR(boolean)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):391:16623:intr.hasCreatorAnnotation(ctor) || ctor == propertyCtor |==> false"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_9,374e5f43725dc1d012e88d0fda108dbaf7d7bbaef118bde1c165e9133bc25ff2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",392,16706,vchecker.isCreatorVisible(ctor),false,"9:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):392:16706:vchecker.isCreatorVisible(ctor) |==> false"
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerConstructors__line357_448,major_full_catalog_try2,_addDeserializerConstructors,major_10,3b7bd8cb38edefa319cfeae63a4c26629f7a9db37471504dae3b10733a960078,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f__addDeserializerConstructors__line357_448/run.log,LVR,POS:0,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector)",394,16821,1,0,"10:LVR:POS:0:com.fasterxml.jackson.databind.deser.BasicDeserializerFactory@_addDeserializerConstructors(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.VisibilityChecker<?>,com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.deser.impl.CreatorCollector):394:16821:1 |==> 0"
