dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_1,e70c45a38558a0f2246f152b95b1ea573d74bb064996a348e1e14a4642b0383c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,EVR,<NEW_CLASS(org.jsoup.parser.TokenQueue)>:<DEFAULT>,org.jsoup.select.QueryParser,byAttribute(),178,5610,"new TokenQueue(tq.chompBalanced('[', ']'))",null,"1:EVR:<NEW_CLASS(org.jsoup.parser.TokenQueue)>:<DEFAULT>:org.jsoup.select.QueryParser@byAttribute():178:5610:new TokenQueue(tq.chompBalanced('[', ']')) |==> null"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_2,f0380fe9eac1e56e0109018fb0005f4bc1c956918b707f75515f2b6300cd3342,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),179,5708,"""=""","""""","2:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():179:5708:""="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_3,54e99e4944c440a2aea086b7b67477205641af2564e74225c173fff3734cffa1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),179,5713,"""!=""","""""","3:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():179:5713:""!="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_4,966aacffe66fb73fded474d775245e4cbd158794982da2d1e3f8c488522811b9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),179,5719,"""^=""","""""","4:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():179:5719:""^="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_5,8e2a1f47697a87f12f6b489971aed063b0f9b26299306c1aa1d7a6f8ec364c34,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),179,5725,"""$=""","""""","5:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():179:5725:""$="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_6,49f597fb6c2c7692fcee4e59bc348f63fc83b965af7f64aedd511a3694e77775,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),179,5731,"""*=""","""""","6:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():179:5731:""*="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_7,11f266f9f049dea1733068d0d47a26ae318c1d6814fb2b85570dca5fc05d6129,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),179,5737,"""~=""","""""","7:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():179:5737:""~="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_8,db2b222cc756e9fe120fbc37a10f9958523668f74886cb23b488ee84e5f58a39,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),183,5880,cq.isEmpty(),false,8:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():183:5880:cq.isEmpty() |==> false
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_9,86aa0032758b212df4fa187e6d9c3000c33c9e901182e62a0ee71b4cf8908592,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),183,5880,cq.isEmpty(),true,9:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():183:5880:cq.isEmpty() |==> true
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_10,72ae55894eef3a1e7012a71b0e050da90b1bf8b6e97d4d5c1ee58a98f0fb34b6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),184,5917,"""^""","""""","10:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():184:5917:""^"" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_11,cb4b4b89c294a3847f457c40c9ec182ce759067882ae63643d019289b821e54d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),184,5916,"key.startsWith(""^"")",false,"11:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():184:5916:key.startsWith(""^"") |==> false"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_12,afacd1941762f5e180847853fd34dabe394c1337f9d0bed7e106a348dc920701,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),184,5916,"key.startsWith(""^"")",true,"12:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():184:5916:key.startsWith(""^"") |==> true"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_13,141828ec1dc7c9b62f2aa2a22633b1ba7a25b3ba3727ed0d8c19f494998bee5c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,POS:0,org.jsoup.select.QueryParser,byAttribute(),185,5995,1,0,13:LVR:POS:0:org.jsoup.select.QueryParser@byAttribute():185:5995:1 |==> 0
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_14,7796539aed9528ce8404e25b38841598b82a3ff961163d6a88313a7f2893f1b4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,POS:NEG,org.jsoup.select.QueryParser,byAttribute(),185,5995,1,-1,14:LVR:POS:NEG:org.jsoup.select.QueryParser@byAttribute():185:5995:1 |==> -1
